,index,Institute,Academic Program Name,Quota,Category,Gender,Opening Rank,Closing Rank,Round,Course Time,Degree Type,IIT,State
46568,46568,Indian Institute of Technology Bombay,chemical engineering,AI,ST,Female-only,439,522,6,4, bachelor of technology,1,Maharashtra
46569,46569,Indian Institute of Technology Bombay,chemistry,AI,GEN,Gender-Neutral,4396,5788,6,4, bachelor of science,1,Maharashtra
46570,46570,Indian Institute of Technology Bombay,chemistry,AI,GEN,Female-only,11155,12842,6,4, bachelor of science,1,Maharashtra
46571,46571,Indian Institute of Technology Bombay,chemistry,AI,EWS,Gender-Neutral,1100,1147,6,4, bachelor of science,1,Maharashtra
46572,46572,Indian Institute of Technology Bombay,chemistry,AI,EWS,Female-only,2638,2638,6,4, bachelor of science,1,Maharashtra
46573,46573,Indian Institute of Technology Bombay,chemistry,AI,OBC-NCL,Gender-Neutral,2248,3475,6,4, bachelor of science,1,Maharashtra
46574,46574,Indian Institute of Technology Bombay,chemistry,AI,OBC-NCL,Female-only,5070,5966,6,4, bachelor of science,1,Maharashtra
46575,46575,Indian Institute of Technology Bombay,chemistry,AI,SC,Gender-Neutral,1255,2209,6,4, bachelor of science,1,Maharashtra
46576,46576,Indian Institute of Technology Bombay,chemistry,AI,SC,Female-only,2570,2570,6,4, bachelor of science,1,Maharashtra
46577,46577,Indian Institute of Technology Bombay,chemistry,AI,ST,Gender-Neutral,810,187,6,4, bachelor of science,1,Maharashtra
46578,46578,Indian Institute of Technology Bombay,chemistry,AI,ST,Female-only,1126,1126,6,4, bachelor of science,1,Maharashtra
46579,46579,Indian Institute of Technology Bombay,civil engineering,AI,GEN,Gender-Neutral,2226,3304,6,4, bachelor of technology,1,Maharashtra
